"gear","samples","fish","mean","sd","se","species"
"an",23,241,4.82402687040203,3.80445940817566,0.793284624299674,"bt"
"ef",14,54,30.40332063873,52.7102566822557,14.0874086624223,"bt"
"gn",46,13,0.862369609795239,1.77267772346465,0.261367071179838,"bt"
"all",83,308,6.94298926520539,23.7076064895432,2.60224788245149,"bt"
"an",23,13,0.31304347826087,0.631315696086138,0.131638422454435,"rb"
"ef",14,8,4.86878305846813,10.6378503979652,2.84308510863876,"rb"
"gn",46,2,0.173913043478261,1.17953564923918,0.173913043478261,"rb"
"all",83,23,1.00437304600667,4.67778296204689,0.513453385221459,"rb"
"an",23,0,0,0,0,"ko"
"ef",14,23,14.3323031294444,28.8720032905972,7.7163674559446,"ko"
"gn",46,4,0.278199011658369,0.951531411193683,0.140295652609226,"ko"
"all",83,27,2.57167949817478,12.6914088953352,1.39306310562304,"ko"
"an",23,0,0,0,0,"mw"
"ef",14,331,177.678461724643,230.468409478021,61.5952733386771,"mw"
"gn",46,6,0.404667795972144,1.91957633514689,0.283026089842706,"mw"
"all",83,337,30.1941347320448,113.534257756217,12.4620037860899,"mw"
