fishid,species,scaleage,otoage,age,comments
cl140514.001,rb,4,,4,
cl140514.002,rb,3,,3,Really hard to read 
cl140514.003,rb,4,,4,
cl140514.004,rb,4,,4,
cl140514.005,rb,3,,3,
cl140514.007,rb,4,,4,
cl140514.006,rb,4,,4,
cl140527.006,rb,4,,4,
cl140527.007,rb,3,,3,
cl140527.008,rb,4,,4,
cl140527.009,rb,3,,3,
cl140527.010,rb,2,,2,
cl140527.011,rb,3,,3,
cl140527.012,rb,3,,3,
cl140603.001,rb,4,,4,Really dirty
cl140603.002,rb,3,,3,
cl140612.011,rb,5,,5,Took dani's age
cl141006.007,rb,4,,4,
cl141008.115,rb,3,,3,Took dani's age
cl141008.116,rb,4,,4,All scales were regens
cl141008.027,rb,5,,5,
cl141008.034,rb,5,,5,
cl141008.042,rb,4,,4,
cl141008.043,rb,4,,4,
cl150727.001,ko,4,,4,
cl150728.001,rb,2,,2,
cl150727.003,ko,3,,3,
cl150728.002,rb,2,,2,
cl150728.004,rb,5,,5,
cl150728.007,rb,3,4,4,
cl150728.011,rb,5,,5,Took dani's age
cl150729.020,rb,3,,3,
cl150729.024,ko,3,,3,
cl150729.025,ko,4,,4,Kept my age
cl150729.026,ko,3,,3,
cl150729.027,ko,3,,3,
cl150729.032,ko,3,,3,Took dani's age
cl150729.036,ko,2,,2,
cl150729.038,ko,3,,3,
cl150729.039,ko,4,,4,
cl150729.044,ko,3,,3,
cl141008.074,mw,4,3,3,
cl141008.075,mw,6,3,3,Took dani's age for the scale
cl141008.076,mw,2,3,3,Took dani's age for the scale
cl141008.077,mw,6,5,5,For some reason there were both very big and very small scales. Read the big ones
cl141008.078,mw,4,5,5,
cl141008.079,mw,4,3,3,
cl141008.080,mw,5,4,4,All but one were regens
cl141008.081,mw,3,2,2,
cl141008.082,mw,4,3,3,
cl141008.083,mw,3,2,2,
cl141008.084,mw,5,4,4,
cl141008.085,mw,3,3,3,
cl141008.086,mw,5,3,3,Took dani's age for the scale
cl141008.087,mw,5,4,4,
cl141008.088,mw,3,3,3,
cl141008.089,mw,5,4,4,Took dani's age for the scale
cl141008.090,mw,3,3,3,
cl141008.091,mw,4,4,4,
cl141008.092,mw,3,4,4,
cl141008.093,mw,3,4,4,
cl141008.094,mw,4,4,4,Kept my age
cl141008.095,mw,3,3,3,
cl141008.096,mw,,6,6,All were regens and not possible to read
cl141008.097,mw,4,5,5,
cl141008.098,mw,4,3,3,
cl141008.099,mw,3,3,3,
cl141008.100,mw,3,3,3,
cl141008.101,mw,1,1,1,
cl141008.102,mw,1,1,1,
cl141008.103,mw,2,3,3,
cl141008.104,mw,4,4,4,
cl150729.046,ko,3,,3,Outer edges of the scales deteriorating. Still did a reading
cl150729.063,ko,3,,3,
cl150729.064,ko,3,,3,All were regens
cl150729.065,ko,3,,3,
cl150729.071,ko,3,,3,Took dani's age
cl150729.072,ko,3,,3,
cl150729.076,rb,1,,1,
cl150729.077,rb,2,,2,
cl150729.078,ko,3,,3,
cl150729.086,ko,3,,3,
cl150729.089,rb,2,,2,
cl150730.014,rb,4,,4,
cl150730.027,rb,4,,4,
cl150730.034,ko,3,,3,
cl150730.037,ko,3,,3,
cl150730.040,ko,3,,3,
cl150730.042,rb,3,,3,
cl150730.043,rb,3,,3,
cl150730.045,ko,3,,3,
cl150730.047,rb,4,,4,
cl150730.058,ko,3,,3,
cl150730.059,rb,3,,3,
cl150730.068,rb,3,,3,
cl150730.078,rb,2,,2,
cl150730.089,rb,,,,
cl150729.104,bt,,5,5,
cl150729.092,bt,,6,6,
cl150728.002,rb,,3,3,
cl150701.033,bt,,3,3,
cl150701.036,bt,,4,4,
cl150701.037,bt,,7,7,
cl150705.028,bt,,4,4,
cl150705.031,bt,,5,5,
cl150705.023,bt,,4,4,
cl150705.032,bt,,4,4,
